gost_designation,analog,manufacturer,source_url,source_file
102314М,,10-ГПЗ,,10-ГПЗ.md
102314,U1314TM,10-ГПЗ,,10-ГПЗ.md
102316М,,10-ГПЗ,,10-ГПЗ.md
102316,U1316TM,10-ГПЗ,,10-ГПЗ.md
102409М,,10-ГПЗ,,10-ГПЗ.md
102506М,,10-ГПЗ,,10-ГПЗ.md
102605М,,10-ГПЗ,,10-ГПЗ.md
102606М,,10-ГПЗ,,10-ГПЗ.md
102609М,,10-ГПЗ,,10-ГПЗ.md
142314М1,,10-ГПЗ,,10-ГПЗ.md
192906КМ,,10-ГПЗ,,10-ГПЗ.md
264706Е,,10-ГПЗ,,10-ГПЗ.md
264708Е,,10-ГПЗ,,10-ГПЗ.md
272614КМУ,,10-ГПЗ,,10-ГПЗ.md
292208КМ,,10-ГПЗ,,10-ГПЗ.md
292208М,,10-ГПЗ,,10-ГПЗ.md
292208,RNU208,10-ГПЗ,,10-ГПЗ.md
292208,RNU208,10-ГПЗ,,10-ГПЗ.md
292208,RNU208,10-ГПЗ,,10-ГПЗ.md
292208,RNU208,10-ГПЗ,,10-ГПЗ.md
292212К1М,,10-ГПЗ,,10-ГПЗ.md
292213К1М,,10-ГПЗ,,10-ГПЗ.md
292218К1М,,10-ГПЗ,,10-ГПЗ.md
292218,RNU218,10-ГПЗ,,10-ГПЗ.md
292228МТ,,10-ГПЗ,,10-ГПЗ.md
292228,RNU228,10-ГПЗ,,10-ГПЗ.md
292305АЕМ,,10-ГПЗ,,10-ГПЗ.md
292305,RNU305,10-ГПЗ,,10-ГПЗ.md
292310АЛ1,,10-ГПЗ,,10-ГПЗ.md
292310,RNU310,10-ГПЗ,,10-ГПЗ.md
322220К3М,,10-ГПЗ,,10-ГПЗ.md
322220М,,10-ГПЗ,,10-ГПЗ.md
402310КМ,,10-ГПЗ,,10-ГПЗ.md
402311К1М,,10-ГПЗ,,10-ГПЗ.md
402312М1,,10-ГПЗ,,10-ГПЗ.md
464706Е1,,10-ГПЗ,,10-ГПЗ.md
464904Е,,10-ГПЗ,,10-ГПЗ.md
492608М,,10-ГПЗ,,10-ГПЗ.md
502207КМ,,10-ГПЗ,,10-ГПЗ.md
502207,RN207,10-ГПЗ,,10-ГПЗ.md
502208КМ,,10-ГПЗ,,10-ГПЗ.md
502208,RN208,10-ГПЗ,,10-ГПЗ.md
502212КМ,,10-ГПЗ,,10-ГПЗ.md
502212,RN212,10-ГПЗ,,10-ГПЗ.md
502306КМ,,10-ГПЗ,,10-ГПЗ.md
502306,RN306,10-ГПЗ,,10-ГПЗ.md
502309М1,,10-ГПЗ,,10-ГПЗ.md
502309,RN309,10-ГПЗ,,10-ГПЗ.md
502310КМ,,10-ГПЗ,,10-ГПЗ.md
502310,RN310,10-ГПЗ,,10-ГПЗ.md
502312М1,,10-ГПЗ,,10-ГПЗ.md
502312,RN312,10-ГПЗ,,10-ГПЗ.md
592708М1,,10-ГПЗ,,10-ГПЗ.md
664613Е,,10-ГПЗ,,10-ГПЗ.md
664812Е,,10-ГПЗ,,10-ГПЗ.md
664908Е,,10-ГПЗ,,10-ГПЗ.md
664910Е,,10-ГПЗ,,10-ГПЗ.md
664913Е,,10-ГПЗ,,10-ГПЗ.md
664915Е,,10-ГПЗ,,10-ГПЗ.md
664916Е,,10-ГПЗ,,10-ГПЗ.md
692207КМ,,10-ГПЗ,,10-ГПЗ.md
692215КМ,,10-ГПЗ,,10-ГПЗ.md
692306К2МШ2,,10-ГПЗ,,10-ГПЗ.md
692309КМ,,10-ГПЗ,,10-ГПЗ.md
692311К1М,,10-ГПЗ,,10-ГПЗ.md
692312К1М,,10-ГПЗ,,10-ГПЗ.md
692314К1М,,10-ГПЗ,,10-ГПЗ.md
692409К1М,,10-ГПЗ,,10-ГПЗ.md
704702АК2,,10-ГПЗ,,10-ГПЗ.md
704702К2,,10-ГПЗ,,10-ГПЗ.md
704702К3С10,,10-ГПЗ,,10-ГПЗ.md
704702К4С17,,10-ГПЗ,,10-ГПЗ.md
704702К6С17,,10-ГПЗ,,10-ГПЗ.md
704702К5,,10-ГПЗ,,10-ГПЗ.md
704902К4УС17,,10-ГПЗ,,10-ГПЗ.md
704902К7УС10,,10-ГПЗ,,10-ГПЗ.md
704902К6УС10,,10-ГПЗ,,10-ГПЗ.md
704902К7С10,,10-ГПЗ,,10-ГПЗ.md
804704К2С10,,10-ГПЗ,,10-ГПЗ.md
804704К3С10,,10-ГПЗ,,10-ГПЗ.md
804704К4С10,,10-ГПЗ,,10-ГПЗ.md
804707А1С10,,10-ГПЗ,,10-ГПЗ.md
804707К4С10,,10-ГПЗ,,10-ГПЗ.md
804707К3С10,,10-ГПЗ,,10-ГПЗ.md
804707К8С10,,10-ГПЗ,,10-ГПЗ.md
804709А2С10,,10-ГПЗ,,10-ГПЗ.md
804805К2С10,,10-ГПЗ,,10-ГПЗ.md
804805К3С10,,10-ГПЗ,,10-ГПЗ.md
804805У1С10,,10-ГПЗ,,10-ГПЗ.md
804807К3С10,,10-ГПЗ,,10-ГПЗ.md
804807К5С10,,10-ГПЗ,,10-ГПЗ.md
804807К5С10,,10-ГПЗ,,10-ГПЗ.md
804807К6С10,,10-ГПЗ,,10-ГПЗ.md
804904С10,,10-ГПЗ,,10-ГПЗ.md
852903,,10-ГПЗ,,10-ГПЗ.md
864904Е,,10-ГПЗ,,10-ГПЗ.md
904700УС10,,10-ГПЗ,,10-ГПЗ.md
904700УС17,,10-ГПЗ,,10-ГПЗ.md
904700К2С10,,10-ГПЗ,,10-ГПЗ.md
904700КС10,,10-ГПЗ,,10-ГПЗ.md
904703К1С17,,10-ГПЗ,,10-ГПЗ.md
904902К5,,10-ГПЗ,,10-ГПЗ.md
922205К,,10-ГПЗ,,10-ГПЗ.md
954712К1,,10-ГПЗ,,10-ГПЗ.md
954712К8,,10-ГПЗ,,10-ГПЗ.md
962710ХС17,,10-ГПЗ,,10-ГПЗ.md
962712ХС17,,10-ГПЗ,,10-ГПЗ.md
962715ХС17,,10-ГПЗ,,10-ГПЗ.md
982807М,,10-ГПЗ,,10-ГПЗ.md
1042924К1М,,10-ГПЗ,,10-ГПЗ.md
6-2007109А,,10-ГПЗ,,10-ГПЗ.md
